Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
2018-08-09,4339,15635,7.37,13,1061,285,17,77,2566
2018-08-10,3667,7470,3.52,2,641,293,9,14,1730
2018-08-11,4392,17519,8.26,21,448,260,20,94,2616
2018-08-12,4011,11193,5.28,6,585,257,21,57,2224
2018-08-13,4196,17014,8.02,17,771,222,25,98,2424
2018-08-14,3454,8448,3.98,11,719,264,9,12,1598
2018-08-15,4079,12259,5.78,8,704,213,23,56,2158
2018-08-16,3490,8039,3.79,18,877,311,7,6,1678
2018-08-17,4610,16482,7.77,11,608,198,9,125,2686
2018-08-18,2921,4657,2.2,8,551,198,0,0,972
2018-08-19,4381,13461,6.35,16,796,243,30,83,2595
2018-08-20,4041,11763,5.55,3,624,239,1,64,2190
2018-08-21,3393,6274,2.96,4,689,212,6,8,1319
2018-08-22,3811,8678,4.09,5,845,200,13,48,1852
2018-08-23,4232,14696,6.93,11,653,210,18,79,2261
2018-08-24,2168,68,0.03,0,994,7,0,0,32
2018-08-25,3719,4054,1.91,7,1190,204,23,23,1731
2018-08-26,799,207,0.1,1,28,13,0,0,51
2018-08-27,4458,15714,7.48,15,608,259,9,96,2692
2018-08-28,3757,12569,5.93,14,717,218,8,58,1874
2018-08-29,3222,8559,4.04,16,853,166,4,35,1266
2018-08-30,3253,6682,3.15,7,793,234,14,9,1389
2018-08-31,4415,15415,7.46,17,744,211,8,104,2640
2018-09-01,3020,3952,1.86,7,798,133,13,5,852
2018-09-02,2918,3181,1.5,6,872,163,0,0,811
2018-09-03,2936,4743,2.24,6,754,155,8,15,915
2018-09-04,3201,7343,3.46,5,631,269,6,3,1374
2018-09-05,3395,7943,3.86,18,1040,184,16,33,1514
2018-09-06,2907,5641,2.66,5,746,195,0,0,983
2018-09-07,3829,9591,4.52,7,683,242,20,43,1922
2018-09-08,4031,13798,6.65,16,634,237,16,76,2230
2018-09-09,3682,9360,4.41,9,734,234,22,46,1872
2018-09-10,2977,5951,2.81,18,835,158,10,4,1002
2018-09-11,2824,4446,2.1,1,781,154,6,4,829
2018-09-12,3047,7512,3.54,6,676,179,17,13,1175
2018-09-13,3044,6480,3.06,10,885,190,1,13,1118
2018-09-14,3080,7021,3.31,3,871,179,18,7,1125
2018-09-15,3180,9445,4.45,77,849,134,23,51,1287
2018-09-16,3344,9015,4.25,102,586,184,30,38,1494
2018-09-17,2952,5628,2.65,2,990,134,24,13,985
2018-09-18,2997,6247,2.95,11,866,196,1,11,1074
2018-09-19,3044,7034,3.32,14,768,218,2,8,1195
2018-09-20,3517,9920,4.68,8,844,156,10,56,1565
2018-09-21,3105,8185,3.86,9,797,163,6,26,1172
2018-09-22,5199,16219,7.65,10,581,319,78,98,3596
2018-09-23,2787,5807,2.74,12,773,46,7,46,745
2018-09-24,2771,4500,2.12,7,841,167,0,0,822
2018-09-25,2820,5219,2.46,6,767,142,2,11,853
2018-09-26,3613,10466,4.94,9,707,163,3,63,1677
2018-09-27,3348,9751,4.6,7,849,167,10,42,1427
2018-09-28,2970,4531,2.14,4,775,235,0,0,1068
2018-09-29,3043,7043,3.32,5,788,218,4,5,1220
2018-09-30,4184,15991,7.54,9,652,254,45,72,2504
2018-10-01,3180,8307,3.92,8,813,201,5,24,1330
2018-10-02,3162,8702,4.1,9,872,141,11,34,1205
2018-10-03,3584,10729,5.06,6,773,186,7,69,1715
2018-10-04,3713,13511,6.37,7,772,152,15,95,1895
2018-10-05,3603,11029,5.2,105,822,167,7,71,1684
2018-10-06,3246,8140,3.84,6,750,218,20,6,1343
2018-10-07,4799,20396,9.62,30,402,329,76,100,3344
2018-10-08,3299,9111,4.3,6,648,210,25,20,1513
2018-10-09,3046,8076,3.81,7,900,130,15,35,1127
2018-10-10,3183,8996,4.24,128,683,151,18,48,1330
2018-10-11,4194,16811,8.24,18,683,216,7,90,2398
2018-10-12,3427,10203,4.81,7,674,259,20,11,1630
2018-10-13,3464,9661,4.56,14,655,275,40,16,1714
2018-10-14,3903,14896,7.03,8,625,256,15,74,2219
2018-10-15,2956,5982,2.82,12,915,206,0,0,1057
2018-10-16,3432,11061,5.22,162,819,229,8,55,1630
2018-10-17,3268,10426,4.92,10,737,170,3,45,1401
2018-10-18,3323,9719,4.58,2,674,255,3,18,1520
2018-10-19,3706,13701,6.46,14,718,114,21,93,1815
2018-10-20,3788,16251,7.66,16,610,224,54,57,2102
2018-10-21,3991,16642,7.85,15,437,349,33,58,2485
2018-10-22,3149,8328,3.93,7,747,172,4,28,1239
2018-10-23,3739,16918,7.98,8,674,127,16,115,1924
2018-10-24,3075,7829,3.69,32,711,141,15,24,1108
2018-10-25,3379,11073,5.22,15,596,275,18,15,1669
2018-10-26,3549,11788,5.56,10,834,200,4,62,1756
2018-10-27,3915,14059,6.63,18,644,209,28,83,2181
2018-10-28,4450,19956,9.41,9,632,239,52,112,2834
2018-10-29,3566,12544,5.92,8,665,192,8,66,1774
2018-10-30,3572,14794,6.98,14,771,170,8,93,1817
2018-10-31,4147,16992,8.01,3,604,212,34,85,2418
2018-11-01,3448,15134,7.14,11,698,164,12,80,1689
2018-11-02,4126,15924,7.51,27,487,213,23,93,2361
2018-11-03,4174,15388,7.26,5,662,265,19,85,2466
2018-11-04,4578,21302,10.05,11,561,256,62,99,2907
2018-11-05,3710,13441,6.36,8,666,168,14,85,1918
2018-11-06,3801,14300,6.74,16,659,176,7,88,1939
2018-11-07,3681,13664,6.46,9,566,172,4,82,1882
2018-11-08,4137,15542,7.33,26,716,238,15,86,2436
2018-11-09,4445,16732,7.99,14,698,126,31,131,2671
2018-11-10,3863,13636,7.04,16,589,219,3,77,2115
2018-11-11,4264,17761,8.36,129,486,299,47,76,2717
2018-11-12,3444,10184,4.82,19,651,244,14,40,1705
2018-11-13,3202,10330,4.87,16,615,199,10,26,1376
2018-11-14,3081,7598,3.58,15,835,214,8,12,1250
2018-11-15,3815,12360,5.9,10,644,203,7,69,2082
2018-11-16,3780,12286,5.73,13,576,281,31,42,2114
2018-11-17,4548,20395,10.06,31,464,347,54,90,3077
2018-11-18,4832,25512,12.0,23,450,269,53,154,3373
2018-11-19,3697,11993,5.56,17,502,255,34,43,2062
2018-11-20,3966,15527,7.27,13,810,196,11,96,2260
2018-11-21,3738,11079,5.16,4,582,328,9,33,2101
2018-11-22,4494,16705,7.84,177,522,284,18,115,2868
2018-11-23,3325,9602,4.53,16,660,269,23,12,1619
2018-11-24,4098,17004,9.2,23,532,217,13,100,2428
2018-11-25,3005,6921,3.26,11,614,281,3,6,1306
2018-11-26,3364,10563,5.64,20,587,210,10,42,1605
2018-11-27,3726,13420,6.29,7,650,196,12,78,2027
2018-11-28,3088,7602,3.59,16,717,272,0,0,1361
2018-11-29,3693,12380,6.56,18,717,258,15,53,2051
2018-11-30,3269,9559,4.51,14,699,288,12,6,1577
2018-12-01,3813,14510,7.27,7,527,233,22,67,2124
2018-12-02,3957,13257,6.23,195,725,265,13,70,2305
2018-12-03,3660,12915,6.12,6,782,219,40,51,1993
2018-12-04,3384,13763,6.49,13,608,199,11,67,1663
2018-12-05,3670,13865,6.52,12,739,200,12,69,1968
2018-12-06,3669,14774,6.96,9,647,198,4,78,1962
